Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,ResultScore,100m,Long Jump,Shot Put,High Jump,400m,110m Hurdles,Discus Throw,Pole Vault,Javelin Throw,1500m
533,8321,Aleksandr NEVSKIY,21 FEB 1958,URS,2,Krefeld (GER),08 SEP 1985,1176,11.05,7.32,15.40,2.01,49.03,14.75,45.38,4.60,67.78,4:22.90
533,8321,Oleksiy KASYANOV,26 AUG 1985,UKR,2,"Olympiastadion, Helsinki (FIN)",28 JUN 2012,1176,10.57,7.49,14.38,2.00,48.07,14.23,47.75,4.80,52.37,4:32.66
533,8321,Ilya SHKURENYOV,11 JAN 1991,ANA,2,"Olympiastadion, Berlin (GER)",08 AUG 2018,1176,11.12,7.55,13.43,2.02,48.95,14.44,45.53,5.30,59.13,4:31.38
536,8320,Gernot KELLERMAYR,05 APR 1966,AUT,4,Götzis (AUT),30 MAY 1993,1176,10.47,7.66,14.83,1.96,47.56,14.12,42.50,5.00,58.24,4:54.78
536,8320,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,2,Arles (FRA),05 JUN 2005,1176,11.02,7.06,15.21,2.11,48.98,14.52,47.83,4.85,59.17,4:30.33
536,8320,Rico FREIMUTH,14 MAR 1988,GER,6,"Olympic Stadium, London (GBR)",09 AUG 2012,1176,10.65,7.21,14.87,1.90,48.06,13.89,49.11,4.90,57.37,4:37.62
539,8319,Tom PAPPAS,06 SEP 1976,USA,1,"Indianapolis, IN (USA)",24 JUN 2006,1176,10.88,7.47,16.53,1.96,48.68,14.32,49.78,5.10,55.68,4:59.50
540,8318,Petri KESKITALO,10 MAR 1967,FIN,5,"National Stadium, Tokyo (JPN)",30 AUG 1991,1176,10.93,7.58,15.06,2.03,50.26,14.27,44.22,4.80,69.22,4:46.03
540,8318,Ramil GANIYEV,23 SEP 1968,UZB,8,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1176,10.84,7.61,14.71,2.13,49.14,14.88,44.86,5.20,53.70,4:42.72
540,8318,Kai KAZMIREK,28 JAN 1991,GER,3,"Mösle-Stadium, Götzis (AUT)",29 MAY 2016,1176,10.62,7.45,14.05,2.06,47.01,14.25,39.56,5.00,57.63,4:38.32
543,8317,Erki NOOL,25 JUN 1970,EST,4,Götzis (AUT),30 MAY 2004,1175,10.71,7.44,14.52,1.94,47.84,14.98,41.95,5.40,61.94,4:39.00
543,8317,Leonel SUÁREZ,01 SEP 1987,CUB,10,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1175,11.07,7.33,14.20,1.90,48.21,14.62,46.41,4.90,68.61,4:23.87
543,8317,Rico FREIMUTH,14 MAR 1988,GER,3,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,1175,10.52,7.19,14.54,1.94,48.42,13.95,49.41,4.86,59.87,4:45.56
546,8316,André NIKLAUS,30 AUG 1981,GER,4,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,1175,11.04,7.20,14.24,2.03,49.42,14.78,46.13,5.30,61.74,4:28.93
546,8316,Pascal BEHRENBRUCH,19 JAN 1985,GER,11,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1175,10.95,7.19,15.86,1.99,48.40,14.46,45.66,4.70,67.07,4:37.21
548,8315,Christian PLAZIAT,28 OCT 1963,FRA,2,Arles (FRA),05 JUL 1987,1175,10.70,7.38,14.50,2.07,49.31,14.15,44.58,4.80,54.64,4:23.59
548,8315,Lev LOBODIN,01 APR 1969,UKR,4,Götzis (AUT),26 MAY 1996,1175,10.85,7.14,15.59,1.97,48.39,14.34,46.24,5.10,58.02,4:35.34
548,8315,Chris HUFFINS,19 APR 1970,USA,1f,"Palo Alto, CA (USA)",25 APR 1998,1175
548,8315,Maicel UIBO,27 DEC 1992,EST,2,"Tuscaloosa, AL (USA)",13 MAY 2016,1175,11.13,7.36,14.98,2.11,50.97,14.84,44.92,5.05,64.20,4:27.91
548,8315,Luiz Alberto DE ARAUJO,27 JUN 1987,BRA,10,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1175,10.77,7.48,15.26,1.92,48.14,14.17,45.10,4.90,57.28,4:31.46
553,8314,Jan PODĚBRADSKÝ,01 MAR 1974,CZE,1,Arles (FRA),04 JUN 2000,1175,10.73,7.20,15.30,1.90,46.78,14.32,43.51,4.85,55.92,4:17.69
553,8314,Andrei KRAUCHANKA,04 JAN 1986,BLR,12,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1175,11.19,7.39,14.84,2.11,49.65,14.44,46.12,5.10,59.98,4:39.63
555,8313,Tomáš DVOŘÁK,11 MAY 1972,CZE,3,Vénissieux (FRA),03 JUL 1994,1175,10.83,7.75,15.52,2.04,48.36,14.20,41.04,4.40,62.16,4:32.67
555,8313,Romain BARRAS,01 AUG 1980,FRA,1,Tallinn (EST),27 JUN 2010,1175,11.20,7.13,15.20,1.98,49.29,14.13,45.43,5.00,63.71,4:25.03
555,8313,Aleksey DROZDOV,03 DEC 1983,RUS,4,"DS, Daegu (KOR)",28 AUG 2011,1175,11.34,7.45,16.17,2.14,51.35,15.49,50.29,5.00,64.80,4:41.73
558,8312,Wilfrid BOULINEAU,13 MAY 1970,FRA,2,Arles (FRA),30 MAY 1999,1175,10.85,7.63,13.64,2.09,49.46,14.54,41.43,4.85,62.38,4:24.79
558,8312,Paul TEREK,20 OCT 1979,USA,3,"Sacramento, CA (USA)",17 JUL 2004,1175,10.98,7.27,15.37,2.01,48.74,15.40,49.24,5.20,54.69,4:24.28
558,8312,Andrei KRAUCHANKA,04 JAN 1986,BLR,1,"Stade Pierre Paul Bernard, Talence (FRA)",14 SEP 2008,1175,11.16,7.72,14.18,2.09,48.89,14.05,41.54,4.95,61.45,4:39.13
558,8312,Edgars ERIŅŠ,18 JUN 1986,LAT,1,Valmiera (LAT),04 JUN 2011,1175
558,8312,Gunnar NIXON,13 JAN 1993,USA,13,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1175,10.84,7.80,14.68,2.14,48.56,14.57,42.38,4.60,57.97,4:35.82
563,8311,Oleksandr YURKOV,21 JUL 1975,UKR,4,"Stadionring, Ratingen (GER)",16 JUN 2002,1174
563,8311,Larbi BOURRADA,10 MAY 1988,ALG,1,"Le Grande Stade, Marrakesh (MAR)",11 AUG 2014,1174,10.90,7.45,13.20,2.04,48.33,14.33,39.99,4.90,64.60,4:20.05
565,8310,Klaus ISEKENMEIER,14 APR 1975,GER,2,Ratingen (GER),01 JUN 1997,1174,11.23,7.69,15.19,1.98,48.89,14.30,45.84,5.00,61.30,4:40.27
565,8310,Dennis LEYCKES,20 APR 1982,GER,3,"Stadionring, Ratingen (GER)",25 JUN 2006,1174,10.95,7.07,14.10,2.00,48.48,14.37,45.36,5.45,60.54,4:38.93
565,8310,Arthur ABELE,30 JUL 1986,GER,2,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2018,1174,10.84,7.19,15.20,1.93,48.48,13.86,44.67,4.75,65.35,4:33.78
565,8310,Ondřej KOPECKÝ,16 MAY 1998,CZE,1,"Eden, Praha (CZE)",05 JUN 2022,1174,10.86,7.63,13.63,1.95,48.54,14.23,44.92,5.00,61.90,4:34.12
569,8309,Dave JOHNSON,07 APR 1963,USA,3,"Estadio Olímpico, Barcelona (ESP)",06 AUG 1992,1174,11.16,7.33,15.28,2.00,49.76,14.76,49.12,5.10,62.86,4:36.63
569,8309,Damian WARNER,04 NOV 1989,CAN,5,"Olympic Stadium, London (GBR)",12 AUG 2017,1174,10.50,7.44,13.45,2.02,47.47,13.63,40.67,4.70,56.63,4:28.39
571,8308,Keisuke USHIRO,24 JUL 1986,JPN,1,Nagano (JPN),01 JUN 2014,1174,11.24,7.15,15.19,2.03,49.66,14.90,50.17,4.80,69.11,4:32.62
571,8308,Rico FREIMUTH,14 MAR 1988,GER,7,"Letzigrund, Zürich (SUI)",13 AUG 2014,1174,10.71,7.36,14.39,1.98,48.53,13.63,48.81,4.80,62.74,4:59.27
573,8307,Antonio PEÑALVER,01 DEC 1968,ESP,9,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1174,10.95,7.27,16.91,2.07,50.41,14.35,48.92,4.70,57.08,4:37.71
573,8307,Michael SMITH,16 SEP 1967,CAN,8,"Olympic Stadium, Athina (GRE)",06 AUG 1997,1174,11.04,7.25,17.54,2.03,49.67,14.68,47.80,4.80,65.58,4:54.99
573,8307,Scott FERRIER,12 JUN 1974,AUS,2,Kuala Lumpur (MAS),18 SEP 1998,1174,10.84,7.59,13.34,2.13,48.25,14.20,43.99,5.10,58.95,4:55.65
573,8307,Stefan SCHMID,06 MAY 1970,GER,7,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1174,10.87,7.43,13.55,1.97,47.86,14.57,43.16,5.10,65.13,4:33.98
573,8307,Damian WARNER,04 NOV 1989,CAN,1,"Mösle-Stadium, Götzis (AUT)",26 MAY 2013,1174,10.36,7.40,13.55,2.09,49.58,13.92,42.99,4.56,62.84,4:37.37
573,8307,Markus ROOTH,22 DEC 2001,NOR,1,"Stadio Zecchini, Grosseto (ITA)",01 MAY 2022,1174,10.90,7.70,14.25,1.95,49.52,14.46,45.80,5.05,60.83,4:33.08
579,8306,Daley THOMPSON,30 JUL 1958,GBR,4,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1174,10.62,7.38,15.02,2.03,49.06,14.72,44.80,4.90,64.04,4:45.11
579,8306,Dezső SZABÓ,04 SEP 1967,HUN,2,Götzis (AUT),17 JUN 1990,1174,11.05,7.51,13.31,2.05,47.25,14.52,39.06,5.20,58.38,4:21.83
579,8306,Pieter BRAUN,21 JAN 1993,NED,5,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,1174,11.10,7.57,15.09,1.97,49.26,14.42,44.31,4.90,64.19,4:30.60
579,8306,Harrison WILLIAMS,07 MAR 1996,USA,4,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,1174,10.79,7.55,14.24,1.99,48.21,14.37,43.90,5.25,52.69,4:32.49
583,8304,Eelco SINTNICOLAAS,07 APR 1987,NED,4,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,1173,10.84,7.40,14.31,1.91,48.69,14.57,41.74,5.36,59.48,4:22.29
583,8304,Mathias BRUGGER,06 AUG 1992,GER,5,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,1173,10.98,7.32,15.11,2.00,48.02,14.24,46.04,5.00,51.72,4:23.93
585,8303,Sebastian CHMARA,21 NOV 1971,POL,2f,Talence (FRA),13 SEP 1998,1173,11.08,7.34,15.49,2.07,48.33,14.25,42.80,5.20,56.36,4:42.66
585,8303,Jeremy TAIWO,15 JAN 1990,USA,6,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,1173,10.95,7.57,13.95,2.15,48.29,14.47,43.16,4.90,49.22,4:19.64
585,8303,Lindon VICTOR,28 FEB 1993,GRN,1,Gold Coast (AUS),10 APR 2018,1173,10.70,7.24,15.79,2.01,49.48,14.87,52.32,4.60,71.10,5:04.75
585,8303,Niklas KAUL,11 FEB 1998,GER,4,"Mösle-Stadium, Götzis (AUT)",29 MAY 2022,1173,11.18,7.28,14.59,1.91,48.62,14.59,45.09,4.80,69.29,4:16.31
589,8302,Michael KOHNLE,03 MAY 1970,GER,3,Götzis (AUT),28 MAY 1995,1173,10.93,7.41,15.29,2.05,49.10,14.40,47.06,5.20,58.76,4:57.49
589,8302,Larbi BOURRADA,10 MAY 1988,ALG,1,"Stadionring, Ratingen (GER)",17 JUL 2011,1173,10.61,7.94,12.82,2.06,48.19,14.65,40.34,4.70,58.05,4:21.42
589,8302,Kurt FELIX,04 JUL 1988,GRN,8,"National Stadium, Beijing (CHN)",29 AUG 2015,1173,11.02,7.66,15.02,2.10,49.89,14.58,45.95,4.50,63.41,4:32.57
592,8301,Chiel WARNERS,02 APR 1978,NED,5,Götzis (AUT),30 MAY 2004,1173,10.66,7.85,14.40,1.97,48.07,14.15,43.38,4.80,55.92,4:38.23
592,8301,Daniel GOLUBOVIC,29 NOV 1993,AUS,6,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1173,10.98,7.12,14.94,1.97,48.63,14.10,47.25,5.10,57.11,4:30.23
594,8300,Chris HUFFINS,19 APR 1970,USA,10,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1173,10.47,7.49,15.57,2.04,48.83,14.10,48.72,4.70,60.62,5:14.36
594,8300,Zachery ZIEMEK,23 FEB 1993,USA,2,"Eugene, OR (USA)",09 JUN 2016,1173,10.63,7.72,14.05,2.01,49.04,14.85,46.91,5.00,58.32,4:42.52
594,8300,Jeremy TAIWO,15 JAN 1990,USA,11,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1173,11.01,7.45,14.92,2.19,48.78,14.57,39.91,5.00,51.29,4:21.96
594,8300,Ilya SHKURENYOV,11 JAN 1991,RUS,1,"Olympic Stadium, Cheboksary (RUS)",24 JUN 2021,1173,10.99,7.54,14.30,2.02,49.68,14.25,45.65,5.00,60.35,4:33.90
598,8299,Pavel TARNAVETSKIY,22 FEB 1961,URS,6,Götzis (AUT),19 JUN 1988,1173,11.03,7.35,15.49,1.99,48.19,14.90,45.86,5.00,58.72,4:28.09
598,8299,Yordani GARCÍA,21 NOV 1988,CUB,4,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,1173,10.69,6.91,15.27,2.03,48.18,13.92,39.54,4.76,66.48,4:32.86
598,8299,Kristjan ROSENBERG,16 MAY 1994,EST,1,"Kadrioru staadion, Tallinn (EST)",27 JUN 2021,1173,10.71,7.27,14.59,1.98,48.09,14.79,48.87,4.91,58.85,4:34.78
598,8299,Felix WOLTER,04 OCT 1997,GER,1,"Georg-Gaßmann-Stadion, Marburg (GER)",13 AUG 2023,1173,10.90,8.01,13.38,2.02,47.16,14.50,40.46,4.81,59.50,4:33.13
602,8298,Romain BARRAS,01 AUG 1980,FRA,3,Kladno (CZE),20 JUN 2007,1172,11.17,7.10,15.12,2.00,48.50,14.30,45.39,5.00,62.06,4:27.31
602,8298,Maurice SMITH,28 SEP 1980,JAM,2,"Stade Pierre Paul Bernard, Talence (FRA)",23 SEP 2007,1172,10.89,7.08,16.72,1.98,48.07,14.01,53.83,4.55,51.36,4:39.17
602,8298,Mikk PAHAPILL,18 JUL 1983,EST,4,"Estadio Olímpico, Barcelona (ESP)",29 JUL 2010,1172,11.18,7.67,14.93,2.07,50.13,14.38,46.79,4.95,59.23,4:38.99
602,8298,Eelco SINTNICOLAAS,07 APR 1987,NED,5,"DS, Daegu (KOR)",28 AUG 2011,1172,10.76,7.29,14.13,1.93,48.35,14.42,42.23,5.20,61.07,4:25.40
602,8298,Eelco SINTNICOLAAS,07 APR 1987,NED,7,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,1172,10.75,7.62,14.67,1.91,48.48,14.34,37.45,5.20,62.74,4:30.18
602,8298,Sander SKOTHEIM,31 MAY 2002,NOR,2,"Stadio Zecchini, Grosseto (ITA)",01 MAY 2022,1172,11.17,7.77,13.84,2.16,48.76,14.81,43.67,4.65,61.55,4:29.11
608,8297,Romain BARRAS,01 AUG 1980,FRA,2,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,1172,11.02,7.13,16.19,2.00,48.59,14.39,42.53,5.00,61.48,4:31.07
608,8297,Janek ÕIGLANE,25 APR 1994,EST,6,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,1172,10.94,7.32,15.20,1.96,49.14,15.13,43.37,5.00,72.46,4:36.24
610,8295,Norman MÜLLER,07 AUG 1985,GER,2,"Stadionring, Ratingen (GER)",21 JUN 2009,1172,10.91,7.47,15.27,2.02,48.95,14.54,43.65,4.80,60.89,4:29.20
610,8295,Devon WILLIAMS,17 JAN 1994,USA,1,"Drake Stadium, Des Moines, IA (USA)",26 JUL 2019,1172,10.72,7.36,14.11,1.91,48.44,13.78,49.47,5.00,60.74,4:52.46
612,8294,Maicel UIBO,27 DEC 1992,EST,3,"Eugene, OR (USA)",09 JUN 2016,1172,11.16,7.39,14.36,2.07,50.85,15.06,44.76,5.30,63.96,4:27.53
612,8294,Mathias BRUGGER,06 AUG 1992,GER,6,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1172,10.89,7.25,15.32,1.97,47.29,14.06,45.08,4.80,57.81,4:34.26
612,8294,Zachery ZIEMEK,23 FEB 1993,USA,1,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2018,1172,10.65,7.23,13.92,2.02,49.99,14.63,50.90,5.35,56.54,4:47.38
615,8293,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,3,Talence (FRA),30 JUL 2000,1172
615,8293,Dmitriy KARPOV,23 JUL 1981,KAZ,2,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,1172,10.84,7.30,16.47,2.09,47.72,14.05,51.13,4.40,48.26,4:42.67
615,8293,Hans VAN ALPHEN,12 JAN 1982,BEL,1,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2012,1172,11.09,7.27,15.29,2.01,49.06,14.96,48.92,4.72,65.76,4:30.22
615,8293,Johannes HOCK,24 MAR 1992,GER,1,"Waco, TX (USA)",04 MAY 2013,1172,10.78,7.46,15.40,1.94,49.80,14.86,53.85,4.69,63.63,4:45.82
615,8293,Lindon VICTOR,28 FEB 1993,GRN,7,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,1172,10.69,7.24,16.13,2.00,48.66,15.30,53.27,4.60,64.65,4:52.96
620,8291,Oleksiy KASYANOV,26 AUG 1985,UKR,1,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2009,1171,10.73,7.73,15.31,2.00,48.62,14.51,44.05,4.82,49.75,4:23.49
620,8291,Ashton EATON,21 JAN 1988,USA,1,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2013,1171,10.48,7.59,15.00,1.90,46.89,14.68,43.99,4.60,60.36,4:34.15
620,8291,Adam Sebastian HELCELET,27 OCT 1991,CZE,12,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,1171,11.06,7.35,15.11,2.04,49.51,14.37,44.13,4.70,68.20,4:34.41
623,8290,Christian PLAZIAT,28 OCT 1963,FRA,1,Tønsberg (NOR),16 JUL 1989,1171,10.80,7.54,14.56,2.07,48.33,14.30,42.42,5.00,50.74,4:28.35
623,8290,Sebastian CHMARA,21 NOV 1971,POL,1,Maribor (SLO),29 JUN 1997,1171,11.25,7.59,14.91,2.13,48.67,14.58,43.48,5.20,53.58,4:38.41
623,8290,Lev LOBODIN,01 APR 1969,RUS,3f,Talence (FRA),13 SEP 1998,1171,10.99,7.36,14.91,2.07,49.61,14.24,46.42,5.20,56.59,4:46.07
623,8290,Haifeng QI,07 AUG 1983,CHN,4,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,1171,10.87,7.40,13.41,2.03,48.72,14.63,48.57,4.70,64.53,4:32.02
623,8290,Vitaliy ZHUK,10 SEP 1996,BLR,3,"Olympiastadion, Berlin (GER)",08 AUG 2018,1171,11.12,7.05,15.65,1.99,48.41,14.66,45.46,4.90,66.19,4:30.81
628,8289,Erki NOOL,25 JUN 1970,EST,2,Tallinn (EST),29 JUN 1997,1171,10.85,7.83,14.59,1.92,48.26,14.67,41.42,5.20,62.98,4:45.30
628,8289,Leonel SUÁREZ,01 SEP 1987,CUB,5,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,1171,11.35,6.85,13.95,2.09,49.33,14.34,44.71,4.86,71.99,4:23.26
628,8289,Maicel UIBO,27 DEC 1992,EST,1,"Kadrioru staadion, Tallinn (EST)",26 JUN 2022,1171,11.24,7.37,14.81,2.10,51.08,14.95,44.94,5.22,64.68,4:32.17
631,8288,Yordani GARCÍA,21 NOV 1988,CUB,1,"Stadionring, Ratingen (GER)",20 JUN 2010,1171,10.89,6.89,14.86,2.09,49.43,14.30,45.52,4.80,69.17,4:42.27
631,8288,Jan Felix KNOBEL,16 JAN 1989,GER,5,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,1171,11.14,7.23,15.47,1.94,49.23,14.77,46.68,4.96,72.99,4:43.39
633,8287,Stefan SCHMID,06 MAY 1970,GER,1,"Stadionring, Ratingen (GER)",17 JUN 2001,1171,10.84,7.75,14.04,1.98,48.92,14.31,42.46,4.76,65.49,4:36.20
633,8287,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,6,"Olympic Stadium, Athina (GRE)",24 AUG 2004,1171,10.91,7.14,15.31,2.12,49.40,14.95,45.62,4.70,63.45,4:29.54
633,8287,Rico FREIMUTH,14 MAR 1988,GER,2,"Stadionring, Ratingen (GER)",17 JUL 2011,1171,10.50,7.42,14.44,1.88,48.46,14.14,47.42,4.80,65.04,4:49.44
636,8286,Oleksiy KASYANOV,26 AUG 1985,UKR,5,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,1171,10.51,7.88,14.95,1.97,48.29,14.37,44.95,4.50,50.55,4:25.47
636,8286,Leonel SUÁREZ,01 SEP 1987,CUB,3,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,1171,10.96,7.35,14.44,2.06,48.47,14.30,43.79,4.50,65.38,4:27.56
638,8285,Chris HUFFINS,19 APR 1970,USA,2,"Sacramento, CA (USA)",21 JUL 2000,1170
638,8285,Phil MCMULLEN,03 FEB 1975,USA,4,"Sacramento, CA (USA)",17 JUL 2004,1170,11.19,6.90,15.24,2.04,48.88,14.85,49.44,5.00,56.35,4:15.18
640,8284,Ashley MOLONEY,13 MAR 2000,AUS,1,"SOPAC, Sydney (AUS)",16 APR 2021,1170,10.45,7.72,14.52,2.00,46.72,14.13,43.11,4.60,55.07,4:47.84
641,8283,Oleksiy KASYANOV,26 AUG 1985,UKR,7,"Olympic Stadium, London (GBR)",09 AUG 2012,1170,10.56,7.55,14.45,1.99,48.44,14.09,46.72,4.60,54.87,4:33.68
642,8282,Christian PLAZIAT,28 OCT 1963,FRA,11,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1170,10.85,7.82,14.85,2.04,49.07,14.52,45.34,4.90,52.18,4:35.00
642,8282,Damian WARNER,04 NOV 1989,CAN,1,"Hampden Park, Glasgow (GBR)",29 JUL 2014,1170,10.29,7.50,14.04,1.96,47.78,13.50,41.31,4.50,61.96,4:45.43
644,8281,Erki NOOL,25 JUN 1970,EST,1,Tallinn (EST),06 JUL 2003,1170,10.79,7.56,13.98,1.97,48.18,14.55,42.96,5.30,56.09,4:35.86
644,8281,Andrei KRAUCHANKA,04 JAN 1986,BLR,9,"Olympiastadion, Berlin (GER)",20 AUG 2009,1170,11.18,7.62,13.96,2.11,48.77,14.13,42.24,4.90,60.71,4:37.77
644,8281,Oleksiy KASYANOV,26 AUG 1985,UKR,7,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,1170,10.66,7.63,14.64,2.00,48.68,14.03,44.99,4.70,54.11,4:33.43
644,8281,Ayden OWENS-DELERME,28 MAY 2000,PUR,1,San Salvador (ESA),04 JUL 2023,1170,10.36,7.54,13.88,2.01,47.19,13.85,43.40,4.60,56.62,4:46.57
648,8280,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,2,Maribor (SLO),29 JUN 1997,1170,10.73,7.14,15.46,1.98,47.26,14.39,46.64,4.80,62.58,4:51.32
648,8280,Laurent HERNU,22 AUG 1976,FRA,8,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,1170,10.97,7.31,14.43,2.03,49.31,14.01,43.93,5.10,59.90,4:37.41
650,8279,Ilya SHKURENYOV,11 JAN 1991,RUS,2,"Ratinan Stadion, Tampere (FIN)",12 JUL 2013,1169,11.05,7.35,13.98,2.04,48.78,14.29,45.09,5.20,56.76,4:33.03
650,8279,Makenson GLETTY,02 APR 1999,FRA,1,"Stadium Municipal, Albi (FRA)",29 JUL 2023,1169,10.73,7.18,16.02,1.93,48.44,14.24,45.49,4.70,61.47,4:33.81
652,8278,Mikhail MEDVED,30 JAN 1964,URS,3,Götzis (AUT),16 JUN 1991,1169,11.15,7.31,16.29,2.08,50.43,14.68,51.02,4.90,60.24,4:50.01
652,8278,Maurice SMITH,28 SEP 1980,JAM,1,Rio de Janeiro (BRA),24 JUL 2007,1169,10.84,7.27,16.93,1.97,47.99,14.06,53.24,4.40,50.23,4:40.12
654,8277,Christian PLAZIAT,28 OCT 1963,FRA,2,Oulu (FIN),11 JUL 1993,1169,11.09,7.52,14.51,2.04,48.38,14.50,46.26,5.00,56.16,4:35.21
654,8277,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,8,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,1169,11.10,7.00,14.96,2.06,48.61,15.27,47.43,4.80,65.87,4:23.37
656,8276,Luiz Alberto DE ARAUJO,27 JUN 1987,BRA,1,São Paulo (BRA),30 JUN 2012,1169,10.80,7.39,14.93,1.98,48.54,14.12,46.15,4.90,52.11,4:27.75
657,8275,Paul TEREK,20 OCT 1979,USA,3,"Palo Alto, CA (USA)",22 JUN 2003,1169,10.90,7.38,15.51,2.08,49.26,15.78,46.19,5.20,58.79,4:37.25
657,8275,Mihail DUDAŠ,01 NOV 1989,SRB,14,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,1169,10.67,7.51,13.45,1.96,47.73,14.59,44.06,4.90,59.06,4:26.62
659,8274,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,12,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1169,10.67,7.28,15.52,1.95,47.17,14.22,43.78,4.80,61.10,4:46.97
659,8274,Klaus ISEKENMEIER,14 APR 1975,GER,6,Götzis (AUT),30 MAY 1999,1169,11.17,7.43,16.03,1.88,49.02,14.69,50.09,4.90,64.74,4:40.76
661,8273,André NIKLAUS,30 AUG 1981,GER,3,"Stadionring, Ratingen (GER)",22 JUN 2008,1169,11.11,7.45,13.42,2.08,49.58,14.60,44.78,5.00,61.46,4:24.82
662,8272,Christian PLAZIAT,28 OCT 1963,FRA,5,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,1168,10.83,7.62,13.58,2.12,48.34,14.18,43.06,4.90,52.18,4:34.07
662,8272,Norman MÜLLER,07 AUG 1985,GER,6,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,1168,10.93,7.42,15.02,2.00,49.12,14.46,42.70,4.90,63.26,4:32.51
662,8272,Kai KAZMIREK,28 JAN 1991,GER,5,"Mösle-Stadium, Götzis (AUT)",29 MAY 2022,1168,10.91,7.56,14.16,2.03,48.28,14.56,43.83,5.00,59.86,4:39.41
665,8271,Michael SMITH,16 SEP 1967,CAN,13,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,1168,11.08,7.47,16.97,1.95,51.97,14.78,49.54,5.00,64.34,4:43.81
665,8271,Jānis KARLIVĀNS,02 JUN 1982,LAT,6,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,1168,11.13,7.82,15.01,2.06,49.10,14.86,47.95,4.70,60.55,4:43.62
667,8269,Maurice SMITH,28 SEP 1980,JAM,3,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,1168,10.83,7.13,17.06,1.97,48.08,13.76,52.05,4.40,50.14,4:39.06
667,8269,Arthur ABELE,30 JUL 1986,GER,1,"Stadionring, Ratingen (GER)",17 JUN 2007,1168,10.84,7.42,13.43,2.04,48.51,13.93,37.95,4.60,65.23,4:18.00
667,8269,Kurt FELIX,04 JUL 1988,GRN,2,"CIBC, Toronto (CAN)",23 JUL 2015,1168,10.91,7.54,15.23,2.09,49.67,14.71,44.54,4.60,64.10,4:38.39
