Rank,Mark,Competitor,DOB,Nat,Pos,Venue,Date,Long Jump,Discus Throw,Javelin Throw,1500m,200m,ResultScore
573,8307,Markus ROOTH,22 DEC 2001,NOR,1,"Stadio Zecchini, Grosseto (ITA)",01 MAY 2022,7.7,45.8,60.83,4:33.08,23.12,3952
579,8306,Daley THOMPSON,30 JUL 1958,GBR,4,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,7.38,44.8,64.04,4:45.11,23.82,3666
579,8306,Dezső SZABÓ,04 SEP 1967,HUN,2,Götzis (AUT),17 JUN 1990,7.51,39.06,58.38,4:21.83,23.26,3875
579,8306,Pieter BRAUN,21 JAN 1993,NED,5,"Mösle-Stadium, Götzis (AUT)",26 MAY 2019,7.57,44.31,64.19,4:30.60,23.46,3930
579,8306,Harrison WILLIAMS,07 MAR 1996,USA,4,"Hayward Field, Eugene, OR (USA)",20 JUN 2021,7.55,43.9,52.69,4:32.49,23.33,3750
583,8304,Eelco SINTNICOLAAS,07 APR 1987,NED,4,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,7.4,41.74,59.48,4:22.29,23.50,3878
583,8304,Mathias BRUGGER,06 AUG 1992,GER,5,"Mösle-Stadium, Götzis (AUT)",27 MAY 2018,7.32,46.04,51.72,4:23.93,23.40,3823
585,8303,Sebastian CHMARA,21 NOV 1971,POL,2f,Talence (FRA),13 SEP 1998,7.34,42.8,56.36,4:42.66,23.63,3569
585,8303,Jeremy TAIWO,15 JAN 1990,USA,6,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,7.57,43.16,49.22,4:19.64,23.66,3808
585,8303,Lindon VICTOR,28 FEB 1993,GRN,1,Gold Coast (AUS),10 APR 2018,7.24,52.32,71.1,5:04.75,23.65,3651
585,8303,Niklas KAUL,11 FEB 1998,GER,4,"Mösle-Stadium, Götzis (AUT)",29 MAY 2022,7.28,45.09,69.29,4:16.31,23.14,4174
589,8302,Michael KOHNLE,03 MAY 1970,GER,3,Götzis (AUT),28 MAY 1995,7.41,47.06,58.76,4:57.49,23.98,3464
589,8302,Larbi BOURRADA,10 MAY 1988,ALG,1,"Stadionring, Ratingen (GER)",17 JUL 2011,7.94,40.34,58.05,4:21.42,23.13,4009
589,8302,Kurt FELIX,04 JUL 1988,GRN,8,"National Stadium, Beijing (CHN)",29 AUG 2015,7.66,45.95,63.41,4:32.57,23.53,3934
592,8301,Chiel WARNERS,02 APR 1978,NED,5,Götzis (AUT),30 MAY 2004,7.85,43.38,55.92,4:38.23,23.26,3788
592,8301,Daniel GOLUBOVIC,29 NOV 1993,AUS,6,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,7.12,47.25,57.11,4:30.23,23.43,3795
594,8300,Chris HUFFINS,19 APR 1970,USA,10,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.49,48.72,60.62,5:14.36,23.60,3378
594,8300,Zachery ZIEMEK,23 FEB 1993,USA,2,"Eugene, OR (USA)",09 JUN 2016,7.72,46.91,58.32,4:42.52,23.89,3721
594,8300,Jeremy TAIWO,15 JAN 1990,USA,11,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,7.45,39.91,51.29,4:21.96,23.42,3754
594,8300,Ilya SHKURENYOV,11 JAN 1991,RUS,1,"Olympic Stadium, Cheboksary (RUS)",24 JUN 2021,7.54,45.65,60.35,4:33.90,23.19,3889
598,8299,Pavel TARNAVETSKIY,22 FEB 1961,URS,6,Götzis (AUT),19 JUN 1988,7.35,45.86,58.72,4:28.09,23.17,3904
598,8299,Yordani GARCÍA,21 NOV 1988,CUB,4,"Mösle-Stadium, Götzis (AUT)",01 JUN 2014,6.91,39.54,66.48,4:32.86,22.99,3767
598,8299,Kristjan ROSENBERG,16 MAY 1994,EST,1,"Kadrioru staadion, Tallinn (EST)",27 JUN 2021,7.27,48.87,58.85,4:34.78,23.61,3801
598,8299,Felix WOLTER,04 OCT 1997,GER,1,"Georg-Gaßmann-Stadion, Marburg (GER)",13 AUG 2023,8.01,40.46,59.5,4:33.13,23.28,3881
602,8298,Romain BARRAS,01 AUG 1980,FRA,3,Kladno (CZE),20 JUN 2007,7.1,45.39,62.06,4:27.31,24.16,3765
602,8298,Maurice SMITH,28 SEP 1980,JAM,2,"Stade Pierre Paul Bernard, Talence (FRA)",23 SEP 2007,7.08,53.83,51.36,4:39.17,23.29,3734
602,8298,Mikk PAHAPILL,18 JUL 1983,EST,4,"Estadio Olímpico, Barcelona (ESP)",29 JUL 2010,7.67,46.79,59.23,4:38.99,23.33,3840
602,8298,Eelco SINTNICOLAAS,07 APR 1987,NED,5,"DS, Daegu (KOR)",28 AUG 2011,7.29,42.23,61.07,4:25.40,23.70,3820
602,8298,Eelco SINTNICOLAAS,07 APR 1987,NED,7,"Mösle-Stadium, Götzis (AUT)",31 MAY 2015,7.62,37.45,62.74,4:30.18,23.54,3789
602,8298,Sander SKOTHEIM,31 MAY 2002,NOR,2,"Stadio Zecchini, Grosseto (ITA)",01 MAY 2022,7.77,43.67,61.55,4:29.11,23.67,3914
608,8297,Romain BARRAS,01 AUG 1980,FRA,2,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,7.13,42.53,61.48,4:31.07,23.59,3740
608,8297,Janek ÕIGLANE,25 APR 1994,EST,6,"Khalifa International Stadium, Doha (QAT)",04 OCT 2019,7.32,43.37,72.46,4:36.24,23.29,3927
610,8295,Norman MÜLLER,07 AUG 1985,GER,2,"Stadionring, Ratingen (GER)",21 JUN 2009,7.47,43.65,60.89,4:29.20,24.39,3742
610,8295,Devon WILLIAMS,17 JAN 1994,USA,1,"Drake Stadium, Des Moines, IA (USA)",26 JUL 2019,7.36,49.47,60.74,4:52.46,23.02,3717
612,8294,Maicel UIBO,27 DEC 1992,EST,3,"Eugene, OR (USA)",09 JUN 2016,7.39,44.76,63.96,4:27.53,23.76,3894
612,8294,Zachery ZIEMEK,23 FEB 1993,USA,1,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2018,7.23,50.9,56.54,4:47.38,23.13,3704
615,8293,Dmitriy KARPOV,23 JUL 1981,KAZ,2,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,7.3,51.13,48.26,4:42.67,23.79,3577
615,8293,Hans VAN ALPHEN,12 JAN 1982,BEL,1,"Stade Pierre Paul Bernard, Talence (FRA)",16 SEP 2012,7.27,48.92,65.76,4:30.22,23.35,3991
615,8293,Johannes HOCK,24 MAR 1992,GER,1,"Waco, TX (USA)",04 MAY 2013,7.46,53.85,63.63,4:45.82,23.36,3896
615,8293,Lindon VICTOR,28 FEB 1993,GRN,7,"Mösle-Stadium, Götzis (AUT)",28 MAY 2023,7.24,53.27,64.65,4:52.96,22.62,3863
620,8291,Oleksiy KASYANOV,26 AUG 1985,UKR,1,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2009,7.73,44.05,49.75,4:23.49,23.88,3788
620,8291,Ashton EATON,21 JAN 1988,USA,1,"Drake Stadium, Des Moines, IA (USA)",22 JUN 2013,7.59,43.99,60.36,4:34.15,23.31,3850
620,8291,Adam Sebastian HELCELET,27 OCT 1991,CZE,12,"Estádio Olímpico, Rio de Janeiro (BRA)",18 AUG 2016,7.35,44.13,68.2,4:34.41,23.72,3853
623,8290,Christian PLAZIAT,28 OCT 1963,FRA,1,Tønsberg (NOR),16 JUL 1989,7.54,42.42,50.74,4:28.35,23.86,3673
623,8290,Sebastian CHMARA,21 NOV 1971,POL,1,Maribor (SLO),29 JUN 1997,7.59,43.48,53.58,4:38.41,23.49,3668
623,8290,Lev LOBODIN,01 APR 1969,RUS,3f,Talence (FRA),13 SEP 1998,7.36,46.42,56.59,4:46.07,23.55,3611
623,8290,Haifeng QI,07 AUG 1983,CHN,4,"Mösle-Stadium, Götzis (AUT)",29 MAY 2005,7.4,48.57,64.53,4:32.02,23.32,3977
623,8290,Vitaliy ZHUK,10 SEP 1996,BLR,3,"Olympiastadion, Berlin (GER)",08 AUG 2018,7.05,45.46,66.19,4:30.81,24.01,3790
628,8289,Erki NOOL,25 JUN 1970,EST,2,Tallinn (EST),29 JUN 1997,7.83,41.42,62.98,4:45.30,24.52,3590
628,8289,Leonel SUÁREZ,01 SEP 1987,CUB,5,"Mösle-Stadium, Götzis (AUT)",27 MAY 2012,6.85,44.71,71.99,4:23.26,23.74,3945
628,8289,Maicel UIBO,27 DEC 1992,EST,1,"Kadrioru staadion, Tallinn (EST)",26 JUN 2022,7.37,44.94,64.68,4:32.17,23.84,3834
631,8288,Yordani GARCÍA,21 NOV 1988,CUB,1,"Stadionring, Ratingen (GER)",20 JUN 2010,6.89,45.52,69.17,4:42.27,23.53,3720
631,8288,Jan Felix KNOBEL,16 JAN 1989,GER,5,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,7.23,46.68,72.99,4:43.39,23.74,3826
633,8287,Stefan SCHMID,06 MAY 1970,GER,1,"Stadionring, Ratingen (GER)",17 JUN 2001,7.75,42.46,65.49,4:36.20,23.15,3925
633,8287,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,6,"Olympic Stadium, Athina (GRE)",24 AUG 2004,7.14,45.62,63.45,4:29.54,23.10,3912
633,8287,Rico FREIMUTH,14 MAR 1988,GER,2,"Stadionring, Ratingen (GER)",17 JUL 2011,7.42,47.42,65.04,4:49.44,23.46,3731
636,8286,Leonel SUÁREZ,01 SEP 1987,CUB,3,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,7.35,43.79,65.38,4:27.56,23.75,3888
638,8285,Phil MCMULLEN,03 FEB 1975,USA,4,"Sacramento, CA (USA)",17 JUL 2004,6.9,49.44,56.35,4:15.18,23.19,3997
640,8284,Ashley MOLONEY,13 MAR 2000,AUS,1,"SOPAC, Sydney (AUS)",16 APR 2021,7.72,43.11,55.07,4:47.84,23.59,3579
641,8283,Oleksiy KASYANOV,26 AUG 1985,UKR,7,"Olympic Stadium, London (GBR)",09 AUG 2012,7.55,46.72,54.87,4:33.68,22.79,3890
642,8282,Christian PLAZIAT,28 OCT 1963,FRA,11,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.82,45.34,52.18,4:35.00,23.25,3807
642,8282,Damian WARNER,04 NOV 1989,CAN,1,"Hampden Park, Glasgow (GBR)",29 JUL 2014,7.5,41.31,61.96,4:45.43,23.71,3609
644,8281,Erki NOOL,25 JUN 1970,EST,1,Tallinn (EST),06 JUL 2003,7.56,42.96,56.09,4:35.86,23.33,3740
644,8281,Andrei KRAUCHANKA,04 JAN 1986,BLR,9,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.62,42.24,60.71,4:37.77,22.64,3874
644,8281,Oleksiy KASYANOV,26 AUG 1985,UKR,7,"Mösle-Stadium, Götzis (AUT)",28 MAY 2017,7.63,44.99,54.11,4:33.43,22.91,3852
644,8281,Ayden OWENS-DELERME,28 MAY 2000,PUR,1,San Salvador (ESA),04 JUL 2023,7.54,43.4,56.62,4:46.57,23.75,3562
648,8280,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,2,Maribor (SLO),29 JUN 1997,7.14,46.64,62.58,4:51.32,23.63,3575
648,8280,Laurent HERNU,22 AUG 1976,FRA,8,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,7.31,43.93,59.9,4:37.41,23.30,3743
650,8279,Ilya SHKURENYOV,11 JAN 1991,RUS,2,"Ratinan Stadion, Tampere (FIN)",12 JUL 2013,7.35,45.09,56.76,4:33.03,24.24,3657
650,8279,Makenson GLETTY,02 APR 1999,FRA,1,"Stadium Municipal, Albi (FRA)",29 JUL 2023,7.18,45.49,61.47,4:33.81,23.22,3821
652,8278,Mikhail MEDVED,30 JAN 1964,URS,3,Götzis (AUT),16 JUN 1991,7.31,51.02,60.24,4:50.01,23.52,3691
652,8278,Maurice SMITH,28 SEP 1980,JAM,1,Rio de Janeiro (BRA),24 JUL 2007,7.27,53.24,50.23,4:40.12,23.60,3694
654,8277,Christian PLAZIAT,28 OCT 1963,FRA,2,Oulu (FIN),11 JUL 1993,7.52,46.26,56.16,4:35.21,23.38,3795
654,8277,Attila ZSIVOCZKY-PANDEL,29 APR 1977,HUN,8,"Olympic Stadium, Sydney (AUS)",28 SEP 2000,7,47.43,65.87,4:23.37,23.69,3947
656,8276,Luiz Alberto DE ARAUJO,27 JUN 1987,BRA,1,São Paulo (BRA),30 JUN 2012,7.39,46.15,52.11,4:27.75,23.02,3849
657,8275,Paul TEREK,20 OCT 1979,USA,3,"Palo Alto, CA (USA)",22 JUN 2003,7.38,46.19,58.79,4:37.25,22.84,3847
657,8275,Mihail DUDAŠ,01 NOV 1989,SRB,14,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.51,44.06,59.06,4:26.62,23.79,3845
659,8274,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,12,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.28,43.78,61.1,4:46.97,23.93,3546
659,8274,Klaus ISEKENMEIER,14 APR 1975,GER,6,Götzis (AUT),30 MAY 1999,7.43,50.09,64.74,4:40.76,23.33,3904
661,8273,André NIKLAUS,30 AUG 1981,GER,3,"Stadionring, Ratingen (GER)",22 JUN 2008,7.45,44.78,61.46,4:24.82,23.66,3919
662,8272,Christian PLAZIAT,28 OCT 1963,FRA,5,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,7.62,43.06,52.18,4:34.07,23.37,3717
662,8272,Norman MÜLLER,07 AUG 1985,GER,6,"Mösle-Stadium, Götzis (AUT)",31 MAY 2009,7.42,42.7,63.26,4:32.51,24.71,3663
662,8272,Kai KAZMIREK,28 JAN 1991,GER,5,"Mösle-Stadium, Götzis (AUT)",29 MAY 2022,7.56,43.83,59.86,4:39.41,23.79,3703
665,8271,Michael SMITH,16 SEP 1967,CAN,13,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.47,49.54,64.34,4:43.81,23.25,3869
665,8271,Jānis KARLIVĀNS,02 JUN 1982,LAT,6,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,7.82,47.95,60.55,4:43.62,23.40,3845
667,8269,Maurice SMITH,28 SEP 1980,JAM,3,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,7.13,52.05,50.14,4:39.06,23.83,3623
667,8269,Arthur ABELE,30 JUL 1986,GER,1,"Stadionring, Ratingen (GER)",17 JUN 2007,7.42,37.95,65.23,4:18.00,23.16,3993
667,8269,Kurt FELIX,04 JUL 1988,GRN,2,"CIBC, Toronto (CAN)",23 JUL 2015,7.54,44.54,64.1,4:38.39,23.47,3828
670,8268,Alain BLONDEL,07 DEC 1962,FRA,6,"Olympic Stadium, Jamsil, Seoul (KOR)",29 SEP 1988,7.43,41.2,57.46,4:16.64,23.21,3955
670,8268,Tomáš DVOŘÁK,11 MAY 1972,CZE,4,Götzis (AUT),28 MAY 1995,7.45,43.2,4.6,4:32.18,23.91,2964
673,8267,Simon POELMAN,27 MAY 1963,NZL,6,"National Stadium, Tokyo (JPN)",30 AUG 1991,7.32,45.06,56.56,4:36.36,23.73,3674
676,8266,Roman ŠEBRLE,26 NOV 1974,CZE,10,"Olympiastadion, Berlin (GER)",20 AUG 2009,7.8,46.3,65.61,4:50.33,23.77,3748
677,8264,Oleksandr YURKOV,21 JUL 1975,UKR,9,"Commonwealth Stadium, Edmonton (CAN)",07 AUG 2001,7.37,48.1,58.63,4:38.43,23.78,3737
677,8264,Jeremy TAIWO,15 JAN 1990,USA,2,"Hayward Field, Eugene, OR (USA)",26 JUN 2015,7.54,41.15,48.11,4:29.27,23.42,3661
680,8263,Niklas KAUL,11 FEB 1998,GER,5,"Mösle-Stadium, Götzis (AUT)",30 MAY 2021,7.25,44.51,71.49,4:28.86,24.01,3915
680,8263,Sander SKOTHEIM,31 MAY 2002,NOR,10,"Nemzeti Atlétikai Központ, Budapest (HUN)",26 AUG 2023,7.8,39.07,59.05,4:19.64,23.20,3982
682,8262,Romain BARRAS,01 AUG 1980,FRA,7,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,7.13,44.51,65.74,4:25.75,23.12,3966
682,8262,Oleksiy KASYANOV,26 AUG 1985,UKR,9,"National Stadium, Beijing (CHN)",29 AUG 2015,7.58,45.84,49.35,4:31.80,23.66,3709
684,8261,Trey HARDEE,07 FEB 1984,USA,1,"Eugene, OR (USA)",26 JUN 2009,7.41,44.76,64.12,5:16.01,23.15,3377
684,8261,Karel TILGA,05 FEB 1998,EST,1,"Hayward Field, Eugene, OR (USA)",10 JUN 2021,7.51,46.46,63.11,4:35.77,24.27,3768
686,8260,Eduard HÄMÄLÄINEN,21 JAN 1969,FIN,1,Oulu (FIN),29 JUN 1997,7.08,49.02,53.9,4:47.77,23.67,3523
686,8260,Axel HUBERT,16 FEB 1996,FRA,1,"Stade De Lattre De Tassigny, Aubagne (FRA)",20 SEP 2020,7.42,41.88,69.69,4:39.62,23.57,3803
688,8257,Vitaliy KOLPAKOV,02 FEB 1972,UKR,1,Bressanone (ITA),03 JUL 1994,7.62,44.5,57.38,4:44.00,23.13,3725
688,8257,Yordani GARCÍA,21 NOV 1988,CUB,8,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,7.15,42.91,68.74,4:55.42,23.12,3613
690,8256,Kamil DAMAŠEK,22 SEP 1973,CZE,2,Lage (GER),16 JUN 1996,7.33,40.36,57.58,4:28.08,23.36,3757
690,8256,Mihail DUDAŠ,01 NOV 1989,SRB,6,"DS, Daegu (KOR)",28 AUG 2011,7.41,43.97,58.93,4:26.06,24.09,3787
692,8255,Norman MÜLLER,07 AUG 1985,GER,7,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,7.49,44.43,62.06,4:34.23,23.73,3803
692,8255,Mikk PAHAPILL,18 JUL 1983,EST,2,"Stade Pierre Paul Bernard, Talence (FRA)",20 SEP 2009,7.47,48.48,59.99,4:42.26,23.33,3797
692,8255,Thomas VAN DER PLAETSEN,24 DEC 1990,BEL,15,"Luzhniki Stadion, Moskva (RUS)",11 AUG 2013,7.64,41.17,65.31,4:37.93,23.65,3786
695,8253,Frank MÜLLER,18 JUN 1968,GER,14,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.25,45.9,66.1,4:37.50,23.49,3826
695,8253,Dmitriy KARPOV,23 JUL 1981,KAZ,1,Desenzano del Garda (ITA),11 MAY 2003,7.77,48.48,50.53,4:48.79,23.79,3586
695,8253,Romain BARRAS,01 AUG 1980,FRA,4,"National Stadium, Beijing (CHN)",22 AUG 2008,7.08,45.17,65.4,4:29.29,23.61,3853
695,8253,Robert Jacob ARNOLD,03 JAN 1984,USA,4,"Mösle-Stadium, Götzis (AUT)",30 MAY 2010,6.96,46.51,62.28,4:40.74,23.81,3638
701,8252,Raúl DUANY BUENO,04 JAN 1975,CUB,1,La Habana (CUB),24 JUL 2000,7.48,41.38,64.2,4:26.56,23.19,3943
701,8252,Adam Sebastian HELCELET,27 OCT 1991,CZE,3,"Ratinan Stadion, Tampere (FIN)",12 JUL 2013,7.36,43.03,64.89,4:37.93,23.20,3814
701,8252,Damian WARNER,04 NOV 1989,CAN,1,"Stade Pierre Paul Bernard, Talence (FRA)",17 SEP 2017,7.6,42.7,56.45,4:40.87,23.66,3643
704,8251,Oleksiy KASYANOV,26 AUG 1985,UKR,6,"Mösle-Stadium, Götzis (AUT)",29 MAY 2011,7.38,46.94,51.62,4:27.14,24.08,3720
704,8251,Arthur ABELE,30 JUL 1986,GER,1,Lage (GER),25 AUG 2013,7.26,44.02,69.53,4:33.11,23.80,3856
704,8251,Janek ÕIGLANE,25 APR 1994,EST,1,Rakvere (EST),27 JUL 2019,7.39,42.47,72.38,4:41.24,24.05,3760
707,8250,Karl-Heinz FICHTNER,16 AUG 1962,FRG,7,Götzis (AUT),19 JUN 1988,7.75,43.5,56.44,4:29.22,23.17,3901
707,8250,Christian SCHENK,09 FEB 1965,GDR,2,Tønsberg (NOR),16 JUL 1989,7.63,41.84,61.98,4:26.95,23.32,3930
707,8250,Johannes ERM,26 MAR 1998,EST,2,"Kadrioru staadion, Tallinn (EST)",26 JUN 2022,7.32,45.29,57.59,4:28.51,23.77,3785
710,8249,Robert ZMĚLÍK,18 APR 1969,TCH,4,"Poljud Stadion, Split (CRO)",29 AUG 1990,7.9,39,59.28,4:27.76,23.75,3831
710,8249,Sebastian CHMARA,21 NOV 1971,POL,15,"Olympic Stadium, Atlanta, GA (USA)",01 AUG 1996,7.75,42.6,54.84,4:26.96,23.18,3888
712,8248,Alain BLONDEL,07 DEC 1962,FRA,4,Vénissieux (FRA),03 JUL 1994,7.17,43.4,64.48,4:22.48,24.36,3811
712,8248,Michael SCHRADER,01 JUL 1987,GER,4,"Stadionring, Ratingen (GER)",22 JUN 2008,7.74,39.71,58.79,4:19.32,24.30,3834
714,8247,Aleksandr POGORELOV,10 JAN 1980,RUS,2,"Stade Pierre Paul Bernard, Talence (FRA)",18 SEP 2005,7.53,45.83,58.24,4:57.40,24.10,3445
714,8247,Pau TONNESEN,24 OCT 1992,ESP,2,"Eugene, OR (USA)",11 JUN 2015,7.49,45.53,57.52,4:41.77,24.57,3552
716,8246,Aleksandr POGORELOV,10 JAN 1980,RUS,5,"Olympiastadion, Helsinki (FIN)",10 AUG 2005,7.49,46.68,59.79,5:03.62,22.84,3565
716,8246,Aleksey DROZDOV,03 DEC 1983,RUS,2,Kladno (CZE),16 JUN 2010,7.32,50.1,63.64,4:43.52,23.19,3849
716,8246,Rik TAAM,17 JAN 1997,NED,6,"Mösle-Stadium, Götzis (AUT)",29 MAY 2022,7.15,42.73,56.6,4:21.28,24.28,3709
716,8246,Cedric DUBLER,13 JAN 1995,AUS,8,"Hayward Field, Eugene, OR (USA)",24 JUL 2022,7.56,42.88,54.76,4:37.26,23.20,3720
720,8245,Aleksandr POGORELOV,10 JAN 1980,RUS,4,"Ullevi Stadium, Göteborg (SWE)",11 AUG 2006,7.54,47.39,61.38,4:59.61,24.25,3472
720,8245,Oleksiy KASYANOV,26 AUG 1985,UKR,2,Szczecin (POL),28 JUN 2009,7.59,49.95,50.64,4:30.47,23.72,3813
723,8244,Beat GÄHWILER,26 JAN 1965,SUI,8,Götzis (AUT),19 JUN 1988,7.57,43.82,64.24,4:14.77,23.03,4177
723,8244,Norman MÜLLER,07 AUG 1985,GER,2,"Stadionring, Ratingen (GER)",17 JUN 2007,7.4,45.1,61.54,4:32.35,23.44,3851
727,8243,Arthur ABELE,30 JUL 1986,GER,9,"Yanmar Stadium Nagai, Osaka (JPN)",01 SEP 2007,7.17,41.28,65.24,4:21.69,24.03,3837
727,8243,Leonel SUÁREZ,01 SEP 1987,CUB,2,"Stadionring, Ratingen (GER)",20 JUN 2010,7.38,43.86,68.99,4:26.10,23.77,3962
729,8242,Tomáš DVOŘÁK,11 MAY 1972,CZE,4,"Stade de France, Paris-St-Denis (FRA)",27 AUG 2003,7.28,45.47,67.1,4:27.63,23.46,3966
729,8242,Pascal BEHRENBRUCH,19 JAN 1985,GER,6,"Mösle-Stadium, Götzis (AUT)",01 JUN 2008,6.96,47.29,66.44,4:45.49,23.07,3751
731,8241,Kip JANVRIN,08 JUL 1965,USA,1,"Eugene, OR (USA)",22 JUN 2001,7.01,45.59,60.41,4:14.96,23.99,3903
731,8241,Maurice SMITH,28 SEP 1980,JAM,8,"Mösle-Stadium, Götzis (AUT)",27 MAY 2007,6.84,51.68,46.71,4:43.64,23.85,3446
731,8241,Roman ŠEBRLE,26 NOV 1974,CZE,5,"National Stadium, Beijing (CHN)",22 AUG 2008,7.68,45.5,63.93,4:49.63,23.64,3710
734,8240,Lev LOBODIN,01 APR 1969,RUS,6,Götzis (AUT),30 MAY 2004,7.35,46.03,53.43,4:43.28,23.81,3557
734,8240,Lindon VICTOR,28 FEB 1993,GRN,2,Lima (PER),07 AUG 2019,7.39,50.83,62.26,4:53.15,24.03,3625
736,8239,André NIKLAUS,30 AUG 1981,GER,4,"Mösle-Stadium, Götzis (AUT)",28 MAY 2006,6.99,45.36,60.8,4:29.48,23.93,3727
736,8239,Pascal BEHRENBRUCH,19 JAN 1985,GER,2,"Gyulai István Atlétika Stadion, Debrecen (HUN)",12 JUL 2007,7.01,49.55,69.55,4:50.09,23.74,3699
736,8239,Romain BARRAS,01 AUG 1980,FRA,,Arles (FRA),14 JUN 2009,7.29,42.64,64.68,4:25.26,23.26,3939
736,8239,Jamie ADJETEY-NELSON,20 MAY 1984,CAN,3,Kladno (CZE),16 JUN 2010,7.61,49.17,62.74,4:52.28,23.87,3681
736,8239,Jeremy TAIWO,15 JAN 1990,USA,2,"Eugene, OR (USA)",06 JUN 2013,7.42,34.9,49.87,4:16.34,23.57,3686
741,8238,Frank BUSEMANN,26 FEB 1975,GER,5,Götzis (AUT),26 MAY 1996,7.73,40.64,60.78,4:35.67,22.92,3858
741,8238,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,4,"Olympiastadion, München (GER)",08 AUG 2002,7.48,45.12,63.96,4:59.95,22.53,3680
741,8238,Oleksiy KASYANOV,26 AUG 1985,UKR,6,"National Stadium, Beijing (CHN)",22 AUG 2008,7.56,48.39,51.59,4:28.94,24.01,3772
741,8238,Ayden OWENS-DELERME,28 MAY 2000,PUR,1,"Demirjian Park, Champaign, IL (USA)",15 MAY 2021,7.47,39.91,55.71,4:23.57,23.12,3841
745,8237,Rob MUZZIO,25 JUN 1964,USA,8,"Gottlieb-Daimler Stadion, Stuttgart (GER)",20 AUG 1993,6.72,47.9,64.5,4:34.43,23.56,3755
745,8237,Jón Arnar MAGNÚSSON,28 JUL 1969,ISL,5,Götzis (AUT),28 MAY 1995,7.45,46.96,4.9,5:09.22,23.52,2627
745,8237,Laurent HERNU,22 AUG 1976,FRA,7,"Olympic Stadium, Athina (GRE)",24 AUG 2004,7.19,44.72,57.76,4:24.35,23.76,3802
749,8236,Tomáš DVOŘÁK,11 MAY 1972,CZE,5,"Ullevi Stadium, Göteborg (SWE)",07 AUG 1995,7.48,43.36,62.98,4:31.31,23.01,3927
749,8236,Steven BASTIEN,04 MAR 1994,USA,10,"National Stadium, Tokyo (JPN)",05 AUG 2021,7.39,40.77,58.21,4:26.95,23.06,3841
752,8235,Erki NOOL,25 JUN 1970,EST,8,"Olympic Stadium, Athina (GRE)",24 AUG 2004,7.53,42.05,61.33,4:36.33,23.95,3702
753,8234,Erki NOOL,25 JUN 1970,EST,7,Talence (FRA),15 SEP 1996,7.51,35.9,65.3,4:43.99,23.39,3620
753,8234,Adam Sebastian HELCELET,27 OCT 1991,CZE,11,"National Stadium, Beijing (CHN)",29 AUG 2015,7.29,42.9,63.07,4:37.65,24.27,3631
753,8234,Oleksiy KASYANOV,26 AUG 1985,UKR,6,"Olympic Stadium, London (GBR)",12 AUG 2017,7.28,48.79,50.82,4:33.86,23.75,3681
753,8234,Maicel UIBO,27 DEC 1992,EST,5,"Olympiastadion, München (GER)",16 AUG 2022,7.23,46.59,62.74,4:42.18,23.09,3783
757,8233,Eduard HÄMÄLÄINEN,21 JAN 1969,URS,7,"National Stadium, Tokyo (JPN)",30 AUG 1991,7.34,45.48,55.64,4:36.85,23.86,3649
757,8233,Stefan DREWS,12 FEB 1979,GER,4,"Stadionring, Ratingen (GER)",25 JUN 2006,7.54,41.67,50.81,4:25.60,23.68,3719
757,8233,Eugène MARTINEAU,14 MAY 1980,NED,5,"Stadionring, Ratingen (GER)",22 JUN 2008,7.27,45,70.09,4:35.04,24.36,3784
757,8233,Lindon VICTOR,28 FEB 1993,GRN,1,"Alexander Stadium, Birmingham (GBR)",05 AUG 2022,7.46,46.54,65.16,4:51.60,23.33,3716
